name,city,neighborhood,priority,description_hint
Overspill,Harare,Overspill,177,
Prospect,Harare,Prospect,178,
Rydale Ridge,Harare,Rydale Ridge,179,
Saturday Retreat,Harare,Saturday Retreat,180,
Seke,Harare,Seke,181,
Shortson,Harare,Shortson,182,
Southlea Park,Harare,Southlea Park,183,
Southview Park,Harare,Southview Park,184,
St. Mary's,Harare,St. Mary's,185,
Stopover,Harare,Stopover,186,
Strathaven,Harare,Strathaven,187,
Sunningdale,Harare,Sunningdale,188,
Tafara,Harare,Tafara,189,
The Grange,Harare,The Grange,190,
Ushewokunzwe,Harare,Ushewokunzwe,191,
Vainona,Harare,Vainona,192,
Warren Park 1,Harare,Warren Park 1,193,
Warren Park D,Harare,Warren Park D,194,
Westgate,Harare,Westgate,195,
Westlea,Harare,Westlea,196,
Westwood,Harare,Westwood,197,
Zengeza,Harare,Zengeza,198,
Zengeza 2,Harare,Zengeza 2,199,
Zengeza 3,Harare,Zengeza 3,200,
Zengeza 4,Harare,Zengeza 4,201,
Zimre Park,Harare,Zimre Park,202,
Zinyengere,Harare,Zinyengere,203,
Chibondo,Hwange,Chibondo,204,
Mshumavale,Kadoma,Mshumavale,205,
Rimuka,Kadoma,Rimuka,206,
Waverly,Kadoma,Waverly,207,
Westview,Kadoma,Westview,208,
Nyamhunga,Kariba,Nyamhunga,209,
Amaveni,Kwekwe,Amaveni,210,
Chicago,Kwekwe,Chicago,211,
Mbizo,Kwekwe,Mbizo,212,
Msasa Park,Kwekwe,Msasa Park,213,
Rutendo,Kwekwe,Rutendo,214,
Rutendo Extension,Kwekwe,Rutendo Extension,215,
Eastvale,Masvingo,Eastvale,216,
Majange,Masvingo,Majange,217,
Mucheke,Masvingo,Mucheke,218,
Rhodene,Masvingo,Rhodene,219,
Chikanga,Mutare,Chikanga,220,
Fernhill,Mutare,Fernhill,221,
Sakubva,Mutare,Sakubva,222,
Madubes,Plumtree,Madubes,223,
Vengere,Rusape,Vengere,224,
